ParentLocation,SpatialDimValueCode,Location,Period,Sex,Dim1ValueCode,OverweightRate,OverweightRate_Lower,OverweightRate_Upper,Value
Americas,USA,United States of America,2022,Male,SEX_MLE,74.71,71.48,77.85,74.7 [71.5-77.8]
Americas,USA,United States of America,2022,Female,SEX_FMLE,70.25,67.11,73.32,70.3 [67.1-73.3]
Americas,USA,United States of America,2021,Male,SEX_MLE,74.5,71.72,77.28,74.5 [71.7-77.3]
Americas,USA,United States of America,2021,Female,SEX_FMLE,69.71,66.91,72.43,69.7 [66.9-72.4]
Americas,USA,United States of America,2020,Male,SEX_MLE,74.29,71.87,76.69,74.3 [71.9-76.7]
Americas,USA,United States of America,2020,Female,SEX_FMLE,69.16,66.67,71.58,69.2 [66.7-71.6]
Americas,USA,United States of America,2019,Male,SEX_MLE,74.08,72.0,76.16,74.1 [72.0-76.2]
Americas,USA,United States of America,2019,Female,SEX_FMLE,68.6,66.42,70.75,68.6 [66.4-70.7]
Americas,USA,United States of America,2018,Male,SEX_MLE,73.86,72.02,75.66,73.9 [72.0-75.7]
Americas,USA,United States of America,2018,Female,SEX_FMLE,68.04,66.11,69.95,68.0 [66.1-69.9]
Americas,USA,United States of America,2017,Male,SEX_MLE,73.64,71.98,75.24,73.6 [72.0-75.2]
Americas,USA,United States of America,2017,Female,SEX_FMLE,67.48,65.77,69.18,67.5 [65.8-69.2]
Americas,USA,United States of America,2016,Male,SEX_MLE,73.41,71.89,74.9,73.4 [71.9-74.9]
Americas,USA,United States of America,2016,Female,SEX_FMLE,66.9,65.35,68.47,66.9 [65.4-68.5]
Americas,USA,United States of America,2015,Male,SEX_MLE,73.17,71.8,74.54,73.2 [71.8-74.5]
Americas,USA,United States of America,2015,Female,SEX_FMLE,66.31,64.9,67.77,66.3 [64.9-67.8]
Americas,USA,United States of America,2014,Male,SEX_MLE,72.95,71.66,74.23,73.0 [71.7-74.2]
Americas,USA,United States of America,2014,Female,SEX_FMLE,65.73,64.39,67.1,65.7 [64.4-67.1]
Americas,USA,United States of America,2013,Male,SEX_MLE,72.74,71.52,73.95,72.7 [71.5-74.0]
Americas,USA,United States of America,2013,Female,SEX_FMLE,65.16,63.9,66.46,65.2 [63.9-66.5]
Americas,USA,United States of America,2012,Male,SEX_MLE,72.52,71.36,73.68,72.5 [71.4-73.7]
Americas,USA,United States of America,2012,Female,SEX_FMLE,64.58,63.38,65.83,64.6 [63.4-65.8]
Americas,USA,United States of America,2011,Male,SEX_MLE,72.28,71.15,73.4,72.3 [71.1-73.4]
Americas,USA,United States of America,2011,Female,SEX_FMLE,64.0,62.81,65.22,64.0 [62.8-65.2]
Americas,USA,United States of America,2010,Male,SEX_MLE,71.99,70.87,73.09,72.0 [70.9-73.1]
Americas,USA,United States of America,2010,Female,SEX_FMLE,63.4,62.22,64.6,63.4 [62.2-64.6]
Americas,USA,United States of America,2009,Male,SEX_MLE,71.63,70.52,72.72,71.6 [70.5-72.7]
Americas,USA,United States of America,2009,Female,SEX_FMLE,62.78,61.61,63.96,62.8 [61.6-64.0]
Americas,USA,United States of America,2008,Male,SEX_MLE,71.19,70.08,72.26,71.2 [70.1-72.3]
Americas,USA,United States of America,2008,Female,SEX_FMLE,62.13,60.98,63.3,62.1 [61.0-63.3]
Americas,USA,United States of America,2007,Male,SEX_MLE,70.66,69.54,71.77,70.7 [69.5-71.8]
Americas,USA,United States of America,2007,Female,SEX_FMLE,61.44,60.29,62.61,61.4 [60.3-62.6]
Americas,USA,United States of America,2006,Male,SEX_MLE,70.07,68.92,71.22,70.1 [68.9-71.2]
Americas,USA,United States of America,2006,Female,SEX_FMLE,60.74,59.57,61.92,60.7 [59.6-61.9]
Americas,USA,United States of America,2005,Male,SEX_MLE,69.42,68.23,70.62,69.4 [68.2-70.6]
Americas,USA,United States of America,2005,Female,SEX_FMLE,60.02,58.85,61.22,60.0 [58.9-61.2]
Americas,USA,United States of America,2004,Male,SEX_MLE,68.73,67.51,69.96,68.7 [67.5-70.0]
Americas,USA,United States of America,2004,Female,SEX_FMLE,59.26,58.07,60.48,59.3 [58.1-60.5]
Americas,USA,United States of America,2003,Male,SEX_MLE,67.99,66.74,69.24,68.0 [66.7-69.2]
Americas,USA,United States of America,2003,Female,SEX_FMLE,58.47,57.26,59.72,58.5 [57.3-59.7]
Americas,USA,United States of America,2002,Male,SEX_MLE,67.23,65.95,68.48,67.2 [65.9-68.5]
Americas,USA,United States of America,2002,Female,SEX_FMLE,57.64,56.4,58.89,57.6 [56.4-58.9]
Americas,USA,United States of America,2001,Male,SEX_MLE,66.43,65.13,67.7,66.4 [65.1-67.7]
Americas,USA,United States of America,2001,Female,SEX_FMLE,56.76,55.52,58.02,56.8 [55.5-58.0]
Americas,USA,United States of America,2000,Male,SEX_MLE,65.61,64.26,66.88,65.6 [64.3-66.9]
Americas,USA,United States of America,2000,Female,SEX_FMLE,55.83,54.59,57.11,55.8 [54.6-57.1]
Europe,DEU,Germany,2022,Male,SEX_MLE,62.65,57.7,67.48,62.6 [57.7-67.5]
Europe,DEU,Germany,2022,Female,SEX_FMLE,44.87,39.76,50.09,44.9 [39.8-50.1]
Europe,DEU,Germany,2021,Male,SEX_MLE,62.77,58.33,67.09,62.8 [58.3-67.1]
Europe,DEU,Germany,2021,Female,SEX_FMLE,44.95,40.22,49.7,44.9 [40.2-49.7]
Europe,DEU,Germany,2020,Male,SEX_MLE,62.9,58.95,66.77,62.9 [59.0-66.8]
Europe,DEU,Germany,2020,Female,SEX_FMLE,45.02,40.76,49.37,45.0 [40.8-49.4]
Europe,DEU,Germany,2019,Male,SEX_MLE,63.03,59.45,66.51,63.0 [59.5-66.5]
Europe,DEU,Germany,2019,Female,SEX_FMLE,45.11,41.22,49.05,45.1 [41.2-49.1]
Europe,DEU,Germany,2018,Male,SEX_MLE,63.16,59.99,66.23,63.2 [60.0-66.2]
Europe,DEU,Germany,2018,Female,SEX_FMLE,45.19,41.61,48.72,45.2 [41.6-48.7]
Europe,DEU,Germany,2017,Male,SEX_MLE,63.27,60.42,66.03,63.3 [60.4-66.0]
Europe,DEU,Germany,2017,Female,SEX_FMLE,45.27,42.04,48.5,45.3 [42.0-48.5]
Europe,DEU,Germany,2016,Male,SEX_MLE,63.38,60.8,65.81,63.4 [60.8-65.8]
Europe,DEU,Germany,2016,Female,SEX_FMLE,45.34,42.42,48.24,45.3 [42.4-48.2]
Europe,DEU,Germany,2015,Male,SEX_MLE,63.48,61.15,65.72,63.5 [61.1-65.7]
Europe,DEU,Germany,2015,Female,SEX_FMLE,45.41,42.76,48.08,45.4 [42.8-48.1]
Europe,DEU,Germany,2014,Male,SEX_MLE,63.59,61.53,65.65,63.6 [61.5-65.6]
Europe,DEU,Germany,2014,Female,SEX_FMLE,45.49,43.05,47.93,45.5 [43.1-47.9]
Europe,DEU,Germany,2013,Male,SEX_MLE,63.7,61.8,65.6,63.7 [61.8-65.6]
Europe,DEU,Germany,2013,Female,SEX_FMLE,45.56,43.33,47.83,45.6 [43.3-47.8]
Europe,DEU,Germany,2012,Male,SEX_MLE,63.8,62.05,65.51,63.8 [62.1-65.5]
Europe,DEU,Germany,2012,Female,SEX_FMLE,45.64,43.55,47.78,45.6 [43.5-47.8]
Europe,DEU,Germany,2011,Male,SEX_MLE,63.88,62.24,65.47,63.9 [62.2-65.5]
Europe,DEU,Germany,2011,Female,SEX_FMLE,45.7,43.68,47.75,45.7 [43.7-47.7]
Europe,DEU,Germany,2010,Male,SEX_MLE,63.9,62.37,65.46,63.9 [62.4-65.5]
Europe,DEU,Germany,2010,Female,SEX_FMLE,45.76,43.81,47.68,45.8 [43.8-47.7]
Europe,DEU,Germany,2009,Male,SEX_MLE,63.87,62.39,65.36,63.9 [62.4-65.4]
Europe,DEU,Germany,2009,Female,SEX_FMLE,45.79,43.91,47.67,45.8 [43.9-47.7]
Europe,DEU,Germany,2008,Male,SEX_MLE,63.76,62.29,65.23,63.8 [62.3-65.2]
Europe,DEU,Germany,2008,Female,SEX_FMLE,45.79,43.94,47.6,45.8 [43.9-47.6]
Europe,DEU,Germany,2007,Male,SEX_MLE,63.57,62.09,65.06,63.6 [62.1-65.1]
Europe,DEU,Germany,2007,Female,SEX_FMLE,45.76,43.95,47.54,45.8 [44.0-47.5]
Europe,DEU,Germany,2006,Male,SEX_MLE,63.31,61.8,64.81,63.3 [61.8-64.8]
Europe,DEU,Germany,2006,Female,SEX_FMLE,45.69,43.91,47.42,45.7 [43.9-47.4]
Europe,DEU,Germany,2005,Male,SEX_MLE,62.97,61.49,64.48,63.0 [61.5-64.5]
Europe,DEU,Germany,2005,Female,SEX_FMLE,45.59,43.85,47.32,45.6 [43.8-47.3]
Europe,DEU,Germany,2004,Male,SEX_MLE,62.58,61.08,64.09,62.6 [61.1-64.1]
Europe,DEU,Germany,2004,Female,SEX_FMLE,45.46,43.7,47.19,45.5 [43.7-47.2]
Europe,DEU,Germany,2003,Male,SEX_MLE,62.13,60.67,63.66,62.1 [60.7-63.7]
Europe,DEU,Germany,2003,Female,SEX_FMLE,45.29,43.53,47.02,45.3 [43.5-47.0]
Europe,DEU,Germany,2002,Male,SEX_MLE,61.66,60.2,63.17,61.7 [60.2-63.2]
Europe,DEU,Germany,2002,Female,SEX_FMLE,45.08,43.36,46.81,45.1 [43.4-46.8]
Europe,DEU,Germany,2001,Male,SEX_MLE,61.15,59.68,62.62,61.1 [59.7-62.6]
Europe,DEU,Germany,2001,Female,SEX_FMLE,44.84,43.14,46.58,44.8 [43.1-46.6]
Europe,DEU,Germany,2000,Male,SEX_MLE,60.61,59.16,62.09,60.6 [59.2-62.1]
Europe,DEU,Germany,2000,Female,SEX_FMLE,44.56,42.88,46.27,44.6 [42.9-46.3]
Western Pacific,JPN,Japan,2022,Male,SEX_MLE,32.3,29.26,35.44,32.3 [29.3-35.4]
Western Pacific,JPN,Japan,2022,Female,SEX_FMLE,15.55,13.61,17.6,15.5 [13.6-17.6]
Western Pacific,JPN,Japan,2021,Male,SEX_MLE,31.79,29.2,34.5,31.8 [29.2-34.5]
Western Pacific,JPN,Japan,2021,Female,SEX_FMLE,15.51,13.8,17.29,15.5 [13.8-17.3]
Western Pacific,JPN,Japan,2020,Male,SEX_MLE,31.3,29.09,33.6,31.3 [29.1-33.6]
Western Pacific,JPN,Japan,2020,Female,SEX_FMLE,15.48,14.03,17.02,15.5 [14.0-17.0]
Western Pacific,JPN,Japan,2019,Male,SEX_MLE,30.82,28.91,32.77,30.8 [28.9-32.8]
Western Pacific,JPN,Japan,2019,Female,SEX_FMLE,15.45,14.18,16.75,15.5 [14.2-16.7]
Western Pacific,JPN,Japan,2018,Male,SEX_MLE,30.36,28.72,32.03,30.4 [28.7-32.0]
Western Pacific,JPN,Japan,2018,Female,SEX_FMLE,15.43,14.32,16.56,15.4 [14.3-16.6]
Western Pacific,JPN,Japan,2017,Male,SEX_MLE,29.9,28.45,31.37,29.9 [28.5-31.4]
Western Pacific,JPN,Japan,2017,Female,SEX_FMLE,15.41,14.43,16.4,15.4 [14.4-16.4]
Western Pacific,JPN,Japan,2016,Male,SEX_MLE,29.46,28.16,30.76,29.5 [28.2-30.8]
Western Pacific,JPN,Japan,2016,Female,SEX_FMLE,15.4,14.53,16.28,15.4 [14.5-16.3]
Western Pacific,JPN,Japan,2015,Male,SEX_MLE,29.01,27.84,30.22,29.0 [27.8-30.2]
Western Pacific,JPN,Japan,2015,Female,SEX_FMLE,15.39,14.59,16.21,15.4 [14.6-16.2]
Western Pacific,JPN,Japan,2014,Male,SEX_MLE,28.6,27.48,29.73,28.6 [27.5-29.7]
Western Pacific,JPN,Japan,2014,Female,SEX_FMLE,15.39,14.63,16.16,15.4 [14.6-16.2]
Western Pacific,JPN,Japan,2013,Male,SEX_MLE,28.22,27.14,29.29,28.2 [27.1-29.3]
Western Pacific,JPN,Japan,2013,Female,SEX_FMLE,15.41,14.67,16.16,15.4 [14.7-16.2]
Western Pacific,JPN,Japan,2012,Male,SEX_MLE,27.89,26.84,28.93,27.9 [26.8-28.9]
Western Pacific,JPN,Japan,2012,Female,SEX_FMLE,15.44,14.71,16.17,15.4 [14.7-16.2]
Western Pacific,JPN,Japan,2011,Male,SEX_MLE,27.61,26.57,28.65,27.6 [26.6-28.6]
Western Pacific,JPN,Japan,2011,Female,SEX_FMLE,15.49,14.76,16.21,15.5 [14.8-16.2]
Western Pacific,JPN,Japan,2010,Male,SEX_MLE,27.35,26.31,28.37,27.3 [26.3-28.4]
Western Pacific,JPN,Japan,2010,Female,SEX_FMLE,15.55,14.83,16.28,15.5 [14.8-16.3]
Western Pacific,JPN,Japan,2009,Male,SEX_MLE,27.09,26.05,28.11,27.1 [26.1-28.1]
Western Pacific,JPN,Japan,2009,Female,SEX_FMLE,15.62,14.9,16.34,15.6 [14.9-16.3]
Western Pacific,JPN,Japan,2008,Male,SEX_MLE,26.81,25.78,27.83,26.8 [25.8-27.8]
Western Pacific,JPN,Japan,2008,Female,SEX_FMLE,15.7,14.98,16.43,15.7 [15.0-16.4]
Western Pacific,JPN,Japan,2007,Male,SEX_MLE,26.52,25.51,27.54,26.5 [25.5-27.5]
Western Pacific,JPN,Japan,2007,Female,SEX_FMLE,15.79,15.08,16.53,15.8 [15.1-16.5]
Western Pacific,JPN,Japan,2006,Male,SEX_MLE,26.22,25.21,27.22,26.2 [25.2-27.2]
Western Pacific,JPN,Japan,2006,Female,SEX_FMLE,15.9,15.18,16.63,15.9 [15.2-16.6]
Western Pacific,JPN,Japan,2005,Male,SEX_MLE,25.9,24.92,26.9,25.9 [24.9-26.9]
Western Pacific,JPN,Japan,2005,Female,SEX_FMLE,16.01,15.28,16.74,16.0 [15.3-16.7]
Western Pacific,JPN,Japan,2004,Male,SEX_MLE,25.57,24.6,26.55,25.6 [24.6-26.6]
Western Pacific,JPN,Japan,2004,Female,SEX_FMLE,16.13,15.4,16.86,16.1 [15.4-16.9]
Western Pacific,JPN,Japan,2003,Male,SEX_MLE,25.23,24.27,26.21,25.2 [24.3-26.2]
Western Pacific,JPN,Japan,2003,Female,SEX_FMLE,16.26,15.53,16.99,16.3 [15.5-17.0]
Western Pacific,JPN,Japan,2002,Male,SEX_MLE,24.87,23.91,25.84,24.9 [23.9-25.8]
Western Pacific,JPN,Japan,2002,Female,SEX_FMLE,16.39,15.66,17.11,16.4 [15.7-17.1]
Western Pacific,JPN,Japan,2001,Male,SEX_MLE,24.5,23.56,25.46,24.5 [23.6-25.5]
Western Pacific,JPN,Japan,2001,Female,SEX_FMLE,16.51,15.78,17.23,16.5 [15.8-17.2]
Western Pacific,JPN,Japan,2000,Male,SEX_MLE,24.12,23.2,25.05,24.1 [23.2-25.1]
Western Pacific,JPN,Japan,2000,Female,SEX_FMLE,16.62,15.91,17.34,16.6 [15.9-17.3]
